"Dates","EUNW GY Equity","IS3N GY Equity","ICGA GY Equity","QDV5 GY Equity","CEBJ GR Equity","XMTW GY Equity","H4ZT GY Equity","XCS3 GT Equity","XCS4 GY Equity","IUSS GY Equity","IUS7 GY Equity","IUSP GY Equity","IBCA GY Equity","IBCM GY Equity","IUSM GY Equity","IBCI GY Equity","EUN5 GY Equity","XPQP GY Equity","XMBR GY Equity","D5BI GY Equity","XMLA GT Equity","IBC4 GY Equity","LTUR GY Equity","LYXGRE GY Equity","IBCJ GY Equity"
2006-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.42,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.96,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.63,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.83,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.93,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.24,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.67,NA,NA,159.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.94,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
