"Dates","EUNW GY Equity","IUSS GY Equity","IUS7 GY Equity","IUSP GY Equity","IBCA GY Equity","IBCM GY Equity","IUSM GY Equity","IBCI GY Equity","EUN5 GY Equity","IS3N GY Equity","ICGA GY Equity","QDV5 GY Equity","CEBJ GR Equity","XMTW GY Equity","H4ZT GY Equity","XCS3 GT Equity","XCS4 GY Equity","XPQP GY Equity","XMBR GY Equity","D5BI GY Equity","XMLA GT Equity","IBC4 GY Equity","LTUR GY Equity","LYXGRE GY Equity","IBCJ GY Equity"
2020-02-19,106.435,3.8205,107.33,55.452,144.22,228.49,193.275,222.85,135.04,27.684,5.391,5.116,141.32,31.505,77.84,10.276,22.495,1.6714,48.67,4.3595,44.485,29.11,31.51,1.0726,17.23
2020-02-20,106.44,3.822,107.53,54.988,144.285,229.03,194.03,223.41,135.25,27.174,5.317,5.045,136.48,30.675,76.8,10.1,21.915,1.6558,47.845,4.292,43.79,28.27,30.465,1.045,16.956
2020-02-21,106.23,3.7975,107.21,54.822,144.255,228.87,193.51,223.42,135.155,27.039,5.29,5.02,134.72,30.61,76.89,10.14,21.995,1.646,47.165,4.2725,43.325,28.435,30.815,1.0348,16.962
2020-02-24,105.35,3.682,106.835,54.268,144.24,229.08,194.84,222.9,134.985,25.948,5.091,4.8825,128.1,29.715,73.48,9.623,20.75,1.5724,44.98,4.0885,41.41,26.92,29.735,0.9605,16.112
2020-02-25,105.03,3.647,106.11,54.294,144.24,229.33,195.16,222.67,134.72,25.907,5.112,4.879,128,29.88,73.7,9.657,20.875,1.5744,44.17,4.0755,40.875,26.45,29.545,0.9665,15.684
2020-02-26,104.865,3.6575,105.925,54.138,144.245,228.8,194.78,222.5,134.615,26.084,5.167,4.868,129.08,30.02,73.42,9.805,20.085,1.528,44.33,4.0375,40.82,27.165,29.725,0.9501,15.56
2020-02-27,103.8,3.54,103.52,53.25,144.15,228.73,194.04,221.61,134.22,25.156,5.045,4.726,126.56,29.195,68.29,9.621,19.95,1.5162,42.035,3.8555,38.84,25.305,28.06,0.8945,14.878
2020-02-28,102.55,3.465,102.85,52.414,144.06,229.15,195.56,221.35,133.665,24.401,4.9305,4.4915,122.1,28.52,66.67,9.493,19.436,1.479,40.485,3.6235,37.275,23.785,26.605,0.8468,14.27
2020-03-02,102.8,3.464,102.555,52.362,144.21,229.11,193.72,221.06,133.845,24.645,4.982,4.4075,124.34,28.97,66.64,9.342,19.45,1.478,42.135,3.763,38.515,24.185,26.66,0.8505,14.602
2020-03-03,103.93,3.557,103.555,53.076,144.6,231.1,195.28,223.2,134.35,25.055,5.011,4.4885,125.18,29.4,69.85,9.494,20.18,1.5016,42.265,3.882,39.105,25.015,28.345,0.8881,15.14
2020-03-04,103.8,3.504,104.685,53.438,144.305,230.38,196.42,222.5,134.665,25.215,5.065,4.4595,127.78,29.72,70.73,9.604,20.15,1.5074,41.22,3.882,38.43,24.92,28.56,0.9086,15.092
2020-03-05,103.155,3.4375,103.49,52.6,144.14,230.26,195.635,221.44,134.43,24.981,5.097,4.3595,125.94,29.61,69.14,9.502,19.898,1.4904,40.005,3.808,37.52,24.575,28.21,0.8685,14.66
2020-03-06,101.145,3.287,101.045,51.45,144.165,230.85,196.42,220.34,133.725,23.868,4.875,4.206,121.98,28.54,65.21,9.221,19.16,1.4366,37.11,3.5825,35.015,23.56,27.76,0.8238,14.142
2020-03-09,96.402,2.7635,95.288,49.305,143.95,230.05,196.3,215.1,131.16,22.066,4.6295,3.9205,112.94,27.31,58.96,8.596,17.04,1.3172,32.33,3.1875,30.805,21.49,26.29,0.7309,12.852
